fuel_frac,ref_mult,core_r,keff,stdv,r_mass,c_mass,p_mass,mass
   0.83991,   0.01464,  28.58547,   1.74938,   0.00075,-119188.79807,1375730.66076,313522.63341,1570064.49610
   0.44083,   0.12682,  21.00773,   1.18679,   0.00067,-28186.39295,314266.02215,162156.41203,448236.04123
   0.77402,   0.01587,  19.36003,   1.43391,   0.00072,-36879.51439,397428.96140,97695.00127,458244.44828
   0.26852,   0.09178,  30.02962,   1.18730,   0.00072,-101038.51239,625614.01922,437208.71334,961784.22017
   0.47092,   0.14234,  31.41634,   1.54507,   0.00080,-84343.42485,1109508.02597,561497.42502,1586662.02614
   0.66774,   0.08675,  24.57771,   1.54723,   0.00068,-56813.51281,714292.96750,236914.57982,894394.03450
   0.81774,   0.06505,  37.45569,   1.87530,   0.00071,-222234.61357,3021949.80805,796884.45154,3596599.64602
   0.75970,   0.01882,  37.75574,   1.84340,   0.00070,-270904.13746,2899465.05844,729905.30975,3358466.23074
   0.54395,   0.07446,  29.48331,   1.56149,   0.00071,-103967.54069,1034299.95750,397387.91089,1327720.32770
   0.70094,   0.02239,  13.58960,   1.06000,   0.00072,-12482.89560,125965.47764,34336.39515,147818.97718
   0.67798,   0.04854,  47.19052,   1.89796,   0.00071,-475496.81732,5123519.33783,1532140.61837,6180163.13887
   0.24351,   0.06626,  29.99116,   1.12178,   0.00070,-113493.59925,580947.81562,410266.55844,877720.77480
   0.92451,   0.02738,  40.97848,   1.94711,   0.00068,-336486.46422,4417588.40714,953054.09652,5034156.03944
   0.60199,   0.12268,  30.73947,   1.65002,   0.00069,-90743.58330,1277824.62251,503304.07522,1690385.11442
   0.82568,   0.13803,  48.58337,   1.97285,   0.00068,-322217.62896,6651761.84904,2056712.34599,8386256.56607
   0.71641,   0.09585,  25.53821,   1.61413,   0.00075,-60845.87906,852136.16456,271455.75497,1062746.04047
   0.68802,   0.13549,  14.90649,   1.16200,   0.00070,-9481.24893,163567.73899,59070.74408,213157.23413
   0.69133,   0.01767,  37.30496,   1.80225,   0.00082,-262308.04367,2574488.12708,702077.62273,3014257.70614
   0.82906,   0.03700,  33.02674,   1.82283,   0.00071,-170240.08037,2097265.20065,510774.31778,2437799.43807
   0.73378,   0.12362,  33.82483,   1.79416,   0.00079,-120166.80851,2022015.61312,672001.38441,2573850.18902
   0.37634,   0.03943,  20.91671,   1.05565,   0.00062,-42861.84371,273227.58576,130518.03633,360883.77838
   0.51862,   0.14112,  16.98864,   1.10263,   0.00067,-13462.00077,190095.81080,88547.80786,265181.61789
   0.59831,   0.10418,  48.64404,   1.87226,   0.00071,-401894.38709,5037200.94716,1912237.10062,6547543.66069
   0.83704,   0.11833,  49.32163,   1.97859,   0.00065,-385333.11560,7045018.29913,2058628.07584,8718313.25937
   0.65553,   0.04874,  15.24786,   1.12715,   0.00068,-16027.71671,167848.95042,51709.42542,203530.65914
   0.93010,   0.05893,  15.42347,   1.37608,   0.00064,-15922.63741,236824.37232,54837.13478,275738.86968
   0.21478,   0.11946,  19.68905,   0.74242,   0.00055,-24340.10463,150636.07934,131296.16821,257592.14291
   0.51584,   0.14313,  40.57191,   1.73957,   0.00068,-180556.77317,2577616.85084,1211491.10143,3608551.17910
   0.52001,   0.10374,  36.79637,   1.68386,   0.00070,-174383.46857,1935913.95833,826855.15155,2588385.64131
   0.78166,   0.00270,  26.66168,   1.66967,   0.00072,-100396.74552,1047086.20944,246940.81342,1193630.27735
   0.33665,   0.11203,  34.68624,   1.42871,   0.00069,-139266.76244,1142229.49758,705859.48041,1708822.21555
   0.67547,   0.11363,  46.18989,   1.89655,   0.00063,-325735.67559,4788971.22362,1672899.33165,6136134.87968
   0.40945,   0.08856,  35.62043,   1.54145,   0.00071,-171401.18964,1443148.91777,724256.62045,1996004.34858
   0.71825,   0.05304,  11.65649,   0.94642,   0.00058,-7040.07702,81211.60954,23341.27293,97512.80545
   0.46163,   0.03045,  23.13202,   1.26230,   0.00072,-59881.27545,435694.67872,172722.65757,548536.06084
   0.78032,   0.07517,  43.18433,   1.91477,   0.00073,-325640.51700,4442609.10822,1250803.40623,5367771.99746
   0.65368,   0.11162,  15.67172,   1.16911,   0.00066,-12876.00968,181793.05939,65041.52821,233958.57792
   0.72756,   0.08829,  25.27283,   1.61505,   0.00066,-61300.56391,837121.69504,258514.07763,1034335.20877
