core_r,ref_mult,fuel_frac,keff,r_mass,c_mass,p_mass,mass
  18.57143,   0.21514,   0.64643,   1.13128,27169.58539,149808.75505,105631.92770,282610.26814
  21.42857,   1.50000,   0.88929,   1.54966,768553.73785,304984.99818,1205931.25109,2279469.98713
  18.57143,   0.64343,   0.88929,   1.39034,117632.22985,198534.02360,241890.14353,558056.39698
  21.42857,   0.10807,   0.88929,   1.42513,18945.02241,304984.99818,126436.12435,450366.14494
  15.71429,   1.28586,   0.22143,   0.68083,226807.89890,39100.33858,369077.08877,634985.32624
  21.42857,   0.64343,   0.40357,   1.08479,180704.87242,155282.94035,371588.02128,707575.83406
  21.42857,   0.00100,   0.95000,   1.43360, 157.80975,323696.13252,96247.50092,420101.44319
  41.42857,   1.07171,   0.10000,   1.14039,2996895.08891,446017.23794,5125763.50279,8568675.82964
  50.00000,   1.17879,   0.70714,   1.90083,6237272.34994,3161255.09661,10383885.35762,19782412.80417
  41.42857,   1.17879,   0.46429,   1.67820,3548007.45437,1257368.08567,5906765.10294,10712140.64298
  35.71429,   1.28586,   0.82857,   1.81526,2662563.33322,1325328.39323,4332702.38148,8320594.10792
  41.42857,   0.32221,   0.10000,   0.93222,498058.07502,446017.23794,1475810.95485,2419886.26782
  10.00000,   0.75050,   0.10000,   0.18215,23306.68769,6272.66097,45000.66799,74580.01665
  47.14286,   1.17879,   0.70714,   1.87808,5227962.61677,2649703.67493,8703574.48269,16581240.77439
  38.57143,   0.75050,   0.58571,   1.69998,1337450.68457,1233000.32893,2582356.40351,5152807.41701
  30.00000,   0.21514,   0.16071,   0.82642,114527.75248,220705.20914,445269.48416,780502.44578
  47.14286,   0.00100,   0.88929,   1.88390,1680.35890,3247481.50060,1024843.78109,4274005.64058
  41.42857,   0.21514,   0.28214,   1.33416,301610.74034,851680.37575,1172624.58977,2325915.70586
  12.85714,   0.42929,   0.22143,   0.40599,21792.14643,21415.55560,54601.24821,97808.95024
  10.00000,   1.50000,   0.70714,   0.78260,78107.84735,25290.04077,122558.37092,225956.25904
  30.00000,   1.07171,   0.76786,   1.68394,1137982.21696,734182.94606,1946356.99332,3818522.15634
  44.28571,   0.85757,   0.88929,   1.91417,2509344.44164,2692091.04006,4612045.52528,9813481.00698
  35.71429,   1.28586,   0.46429,   1.59845,2662563.33322,805542.88588,4332702.38148,7800808.60057
  12.85714,   0.00100,   0.10000,   0.16007,  34.08689,13331.68163,20789.45050,34155.21902
  32.85714,   0.75050,   0.88929,   1.78055,826741.67688,1099482.14726,1596276.92293,3522500.74707
  41.42857,   0.32221,   0.76786,   1.80860,498058.07502,1933482.99527,1475810.95485,3907352.02515
  12.85714,   0.10807,   0.88929,   0.96952,4092.12293,65876.72886,27310.19011,97279.04191
  15.71429,   0.00100,   0.88929,   1.11753,  62.23555,120277.16915,37957.20123,158296.60594
  44.28571,   0.21514,   0.28214,   1.38016,368415.42853,1040321.67504,1432352.80764,2841089.91122
  24.28571,   1.28586,   0.76786,   1.55769,837194.36938,389486.97812,1362339.06353,2589020.41103
  41.42857,   1.39293,   0.46429,   1.68888,4823665.96164,1257368.08567,7697661.85473,13778695.90204
  41.42857,   0.75050,   0.40357,   1.59040,1657220.83764,1122132.14755,3199770.19824,5979123.18343
  32.85714,   0.32221,   0.82857,   1.72163,248467.40928,1032016.67512,736241.29981,2016725.38420
  15.71429,   1.28586,   0.52500,   1.01620,226807.89890,75998.52112,369077.08877,671883.50879
  44.28571,   0.53636,   0.52500,   1.71102,1218302.15448,1701028.87533,2722332.35565,5641663.38546
  24.28571,   0.10807,   0.58571,   1.27334,27578.33020,307764.40258,184053.47387,519396.20665
  41.42857,   0.21514,   0.70714,   1.76622,301610.74034,1798247.05715,1172624.58977,3272482.38726
  32.85714,   0.64343,   0.58571,   1.59379,651447.71821,762175.96005,1339588.49770,2753212.17596
  32.85714,   0.21514,   0.34286,   1.25674,150465.26303,492346.38893,584990.00114,1227801.65310
  15.71429,   1.39293,   0.16071,   0.60504,263245.94334,31719.99500,420090.91686,715056.85520
  24.28571,   0.96464,   0.76786,   1.54172,503598.18006,389486.97812,889693.05742,1782778.21560
  15.71429,   0.75050,   0.82857,   1.21489,90440.89417,112896.82558,174623.72623,377961.44597
  32.85714,   1.50000,   0.70714,   1.72211,2770664.52126,897095.76039,4347426.55969,8015186.84134
  12.85714,   1.50000,   0.88929,   1.12385,166007.52991,65876.72886,260481.02868,492365.28745
  10.00000,   1.50000,   0.95000,   0.93402,78107.84735,32897.12464,122558.37092,233563.34291
  38.57143,   0.42929,   0.64643,   1.71370,588388.41118,1342141.72633,1474234.84829,3404764.98581
  41.42857,   1.17879,   0.95000,   1.91683,3548007.45437,2339148.36691,5906765.10294,11793920.92422
  10.00000,   1.28586,   0.64643,   0.72643,58448.56925,23388.43474,95111.44844,176948.45243
  41.42857,   0.21514,   0.40357,   1.50834,301610.74034,1122132.14755,1172624.58977,2596367.47766
  24.28571,   0.10807,   0.10000,   0.45278,27578.33020,89847.13423,184053.47387,301478.93830
  24.28571,   1.28586,   0.52500,   1.38009,837194.36938,280526.09400,1362339.06353,2480059.52691
  27.14286,   0.10807,   0.52500,   1.30226,38501.91874,391640.56687,256955.79977,687098.28538
  15.71429,   0.42929,   0.76786,   1.13073,39787.91490,105517.57917,99690.49284,244995.98691
  15.71429,   1.28586,   0.40357,   0.89732,226807.89890,61239.05305,369077.08877,657124.04072
  50.00000,   0.00100,   0.82857,   1.88268,2004.76875,3636699.80181,1222699.97843,4861404.54900
  41.42857,   1.07171,   0.76786,   1.84902,2996895.08891,1933482.99527,5125763.50279,10056141.58697
  27.14286,   0.96464,   0.58571,   1.49041,703069.98504,429667.78373,1242094.41046,2374832.17923
  12.85714,   0.32221,   0.88929,   1.01860,14887.20867,65876.72886,44112.73854,124876.67607
  41.42857,   0.53636,   0.34286,   1.49339,997387.69421,986918.54770,2228692.43159,4212998.67350
  32.85714,   0.85757,   0.70714,   1.69249,1024846.25292,897095.76039,1883614.49964,3805556.51295
  30.00000,   1.17879,   0.46429,   1.47493,1347250.82759,477448.31875,2242919.23725,4067618.38358
  12.85714,   1.39293,   0.64643,   0.94928,144181.82400,49708.91416,230087.02003,423977.75819
  30.00000,   0.64343,   0.70714,   1.62176,495854.26910,682831.10087,1019637.73433,2198323.10430
  38.57143,   0.00100,   0.70714,   1.68386, 920.34677,1451265.09575,561315.59999,2013501.04251
  30.00000,   0.21514,   0.34286,   1.18468,114527.75248,374753.11066,445269.48416,934550.34730
  30.00000,   0.32221,   0.58571,   1.49429,189122.81397,580135.89277,560395.53351,1329654.24025
  18.57143,   1.07171,   0.28214,   0.86945,269965.17737,76720.75161,461737.10195,808423.03092
  21.42857,   0.53636,   0.52500,   1.20360,138020.54791,192708.30025,308411.01441,639139.86257
  10.00000,   0.75050,   0.95000,   0.88546,23306.68769,32897.12464,45000.66799,101204.48032
  30.00000,   0.64343,   0.10000,   0.81614,495854.26910,169361.84624,1019637.73433,1684853.84967
  12.85714,   1.17879,   0.88929,   1.10860,106051.74372,65876.72886,176556.20709,348484.67967
  50.00000,   1.17879,   0.95000,   1.97770,6237272.34994,4112140.58003,10383885.35762,20733298.28759
  38.57143,   0.75050,   0.95000,   1.87628,1337450.68457,1887796.43218,2582356.40351,5807603.52026
  24.28571,   1.17879,   0.34286,   1.18181,714721.93194,198808.01835,1189877.59192,2103407.54221
  10.00000,   0.21514,   0.82857,   0.73249,4241.76861,29093.59841,16491.46238,49826.82940
  47.14286,   0.32221,   0.40357,   1.61012,733884.87219,1653453.38022,2174596.47439,4561934.72680
  47.14286,   0.32221,   0.22143,   1.34154,733884.87219,1055708.46984,2174596.47439,3964189.81642
  27.14286,   1.17879,   0.22143,   1.09853,997818.41535,201494.43094,1661179.99206,2860492.83835
  18.57143,   1.07171,   0.95000,   1.45544,269965.17737,210714.28430,461737.10195,942416.56361
  15.71429,   0.53636,   0.16071,   0.46597,54431.27002,31719.99500,121628.28982,207779.55484
  24.28571,   0.32221,   0.34286,   1.04315,100330.40634,198808.01835,297292.06333,596430.48802
  10.00000,   1.50000,   0.22143,   0.39094,78107.84735,10076.18720,122558.37092,210742.40547
  44.28571,   0.00100,   0.70714,   1.76313,1392.98072,2196546.31467,849573.04915,3047512.34454
  35.71429,   0.42929,   0.58571,   1.62487,467081.80729,978795.65790,1170295.44469,2616172.90988
  50.00000,   0.32221,   0.70714,   1.85894,875568.58320,3161255.09661,2594423.76624,6631247.44605
  30.00000,   0.96464,   0.64643,   1.60459,949282.55946,631487.73797,1677071.39564,3257841.69307
  50.00000,   1.28586,   0.40357,   1.72941,7306071.15617,1972668.85904,11888931.05475,21167671.06996
  21.42857,   1.50000,   0.34286,   1.10764,768553.73785,136571.80602,1205931.25109,2111056.79496
  44.28571,   0.96464,   0.64643,   1.81813,3053673.30941,2031383.83978,5394840.66976,10479897.81894
  44.28571,   0.64343,   0.88929,   1.90461,1595075.07204,2692091.04006,3279993.40508,7567159.51718
  15.71429,   1.07171,   0.70714,   1.15260,163552.05378,98137.23560,279732.56427,541421.85364
  47.14286,   0.21514,   0.70714,   1.82709,444421.18446,2649703.67493,1727853.61859,4821978.47797
  35.71429,   1.50000,   0.10000,   1.09429,3558121.14927,285744.49845,5583018.17785,9426883.82557
  24.28571,   0.21514,   0.58571,   1.30679,60757.42901,307764.40258,236217.23545,604739.06704
  30.00000,   0.85757,   0.52500,   1.50216,780069.33708,528791.68165,1433727.16626,2742588.18498
  15.71429,   0.96464,   0.34286,   0.79692,136431.93180,53859.92856,241030.54248,431322.40284
  15.71429,   0.53636,   0.10000,   0.35518,54431.27002,24340.87051,121628.28982,200400.43034
  12.85714,   1.28586,   0.82857,   1.07532,124224.42734,61834.45803,202146.35477,388205.24014
  41.42857,   0.21514,   0.76786,   1.80004,301610.74034,1933482.99527,1172624.58977,3407718.32538
  38.57143,   1.39293,   0.70714,   1.80176,3892912.27579,1451265.09575,6212354.37267,11556531.74421
  15.71429,   0.53636,   0.64643,   1.04484,54431.27002,90758.11110,121628.28982,266817.67094
  35.71429,   0.85757,   0.76786,   1.76944,1316120.04964,1238701.29166,2418960.69943,4973782.04073
  12.85714,   0.96464,   0.28214,   0.56908,74724.81638,25457.15873,132014.27841,232196.25352
  24.28571,   1.07171,   0.88929,   1.61817,603704.10021,443967.64518,1032550.13991,2080221.88530
  38.57143,   0.32221,   0.95000,   1.85812,401954.94666,1887796.43218,1191044.86682,3480796.24566
  50.00000,   0.32221,   0.34286,   1.57323,875568.58320,1734968.10489,2594423.76624,5204960.45433
  44.28571,   0.75050,   0.95000,   1.92995,2024283.76514,2857253.51495,3908497.11600,8790034.39610
  38.57143,   1.39293,   0.28214,   1.46325,3892912.27579,687343.82028,6212354.37267,10792610.46874
  10.00000,   0.00100,   0.64643,   0.55656,  16.03815,23388.43474,9781.59983,33186.07272
  44.28571,   0.32221,   0.28214,   1.40891,608374.48605,1040321.67504,1802692.85087,3451389.01196
  27.14286,   0.10807,   0.95000,   1.63969,38501.91874,657846.79056,256955.79977,953304.50907
  18.57143,   1.50000,   0.70714,   1.32240,500300.23390,161989.01574,785016.91850,1447306.16815
  44.28571,   1.07171,   0.76786,   1.87621,3660686.57630,2361736.07562,6261084.58631,12283507.23822
  47.14286,   0.75050,   0.52500,   1.76126,2441902.58852,2051958.76455,4714837.60782,9208698.96089
  21.42857,   0.32221,   0.82857,   1.42609,68922.29451,286270.77263,204225.73667,559418.80381
  15.71429,   0.53636,   0.70714,   1.09687,54431.27002,98137.23560,121628.28982,274196.79543
  30.00000,   1.39293,   0.28214,   1.28818,1831644.39264,323400.41723,2922959.27718,5078004.08705
  10.00000,   0.00100,   0.82857,   0.68590,  16.03815,29093.59841,9781.59983,38891.23639
  47.14286,   0.32221,   0.10000,   1.02199,733884.87219,657203.08551,2174596.47439,3565684.43209
  41.42857,   0.42929,   0.10000,   0.97669,729065.78679,446017.23794,1826708.63184,3001791.65657
  50.00000,   0.64343,   0.22143,   1.45410,2295621.61621,1259523.39969,4720545.06632,8275690.08222
  10.00000,   0.42929,   0.46429,   0.49471,10253.37614,17683.27106,25690.31635,53626.96356
  44.28571,   0.75050,   0.34286,   1.56656,2024283.76514,1205514.16460,3908497.11600,7138295.04574
  15.71429,   0.10807,   0.58571,   0.88739,7471.36311,83377.76753,49862.71196,140711.84259
  41.42857,   0.53636,   0.46429,   1.62378,997387.69421,1257368.08567,2228692.43159,4483448.21147
  50.00000,   0.21514,   0.76786,   1.88054,530221.07630,3398995.12067,2061432.79705,5990648.99402
  32.85714,   0.64343,   0.28214,   1.26185,651447.71821,424879.80239,1339588.49770,2415916.01830
  24.28571,   0.53636,   0.28214,   1.00362,200916.95659,171565.20988,448954.90804,821437.07452
  32.85714,   0.85757,   0.52500,   1.56344,1024846.25292,694720.51746,1883614.49964,3603181.27002
  35.71429,   1.17879,   0.34286,   1.47074,2273059.25487,632277.23377,3784216.14279,6689552.63144
  50.00000,   0.32221,   0.16071,   1.24451,875568.58320,1021783.37563,2594423.76624,4491775.72507
  50.00000,   0.32221,   0.46429,   1.70049,875568.58320,2210408.88310,2594423.76624,5680401.23254
  41.42857,   1.17879,   0.40357,   1.62686,3548007.45437,1122132.14755,5906765.10294,10576904.70486
  15.71429,   0.10807,   0.46429,   0.75810,7471.36311,68619.39663,49862.71196,125953.47170
  47.14286,   0.00100,   0.95000,   1.90608,1680.35890,3446717.73512,1024843.78109,4473241.87510
  15.71429,   1.07171,   0.76786,   1.19919,163552.05378,105517.57917,279732.56427,548802.19722
  38.57143,   0.64343,   0.82857,   1.82570,1053871.14385,1669531.66537,2167102.01433,4890504.82354
  44.28571,   0.42929,   0.88929,   1.89575,890548.80460,2692091.04006,2231311.93085,5813951.77551
  35.71429,   1.28586,   0.34286,   1.47751,2662563.33322,632277.23377,4332702.38148,7627542.94847
  24.28571,   0.32221,   0.52500,   1.27051,100330.40634,280526.09400,297292.06333,678148.56368
  10.00000,   0.64343,   0.88929,   0.83565,18364.97293,30995.51861,37764.36053,87124.85207
  38.57143,   0.53636,   0.58571,   1.67994,804936.08583,1233000.32893,1798653.59560,3836590.01036
  47.14286,   1.50000,   0.76786,   1.90787,8183563.32527,2848972.82474,12840760.86449,23873297.01450
  24.28571,   1.17879,   0.16071,   0.90448,714721.93194,117084.99281,1189877.59192,2021684.51667
  21.42857,   0.75050,   0.95000,   1.54576,229329.60708,323696.13252,442790.74076,995816.48036
  50.00000,   0.96464,   0.58571,   1.83843,4394826.66415,2685814.31840,7764219.42428,14844860.40683
  44.28571,   1.07171,   0.82857,   1.90125,3660686.57630,2526901.27911,6261084.58631,12448672.44172
  32.85714,   1.07171,   0.10000,   0.97670,1495068.13755,222505.67386,2557101.75574,4274675.56715
  41.42857,   0.64343,   0.46429,   1.63579,1305840.46195,1257368.08567,2685232.92624,5248441.47386
  35.71429,   0.53636,   0.28214,   1.30359,638984.37593,545635.82101,1427829.56998,2612449.76692
  18.57143,   1.50000,   0.64643,   1.27601,500300.23390,149808.75505,785016.91850,1435125.90745
  50.00000,   0.21514,   0.82857,   1.90550,530221.07630,3636699.80181,2061432.79705,6228353.67517
